Varies per block?       ,0,Unit    ,%      ,2,1,2013
Varies per sequence?    ,1,,,,,
# of agents             ,1,,,,,
Stag,Seq.,Blck,Hydro 1                                                ,Hydro 2                                                ,Hydro 3                                                ,
1,1,1,0,0,0,
1,2,1,83.009,100,33,
1,3,1,35.556,35.556,35.556,
1,4,1,0,0,0,
1,5,1,42.583,42.583,42.583,
1,6,1,95.598,95.598,95.598,
1,7,1,0,0,0,
1,8,1,14.447,14.447,14.447,
1,9,1,0,0,0,
1,10,1,0,0,0,
1,11,1,0,0,0,
1,12,1,0,0,0,
1,13,1,32.428,32.428,32.428,
1,14,1,0,0,0,
1,15,1,10.975,10.975,10.975,
1,16,1,0,0,0,
1,17,1,0,0,0,
1,18,1,57.672,57.672,57.672,
1,19,1,0,0,0,
1,20,1,0,0,0,
2,1,1,0,0,0,
2,2,1,68.657,68.657,68.657,
2,3,1,0,0,0,
2,4,1,0,0,0,
2,5,1,48.254,48.254,48.254,
2,6,1,100,100,100,
2,7,1,0,0,0,
2,8,1,0,0,0,
2,9,1,0,0,0,
2,10,1,4.8858,4.8858,4.8858,
2,11,1,46.275,46.275,46.275,
2,12,1,100,100,100,
2,13,1,27.829,27.829,27.829,
2,14,1,0,0,0,
2,15,1,17.418,17.418,17.418,
2,16,1,0,0,0,
2,17,1,0,0,0,
2,18,1,7.569,7.569,7.569,
2,19,1,0,0,0,
2,20,1,0,0,0,
3,1,1,10.538,10.538,10.538,
3,2,1,100,100,100,
3,3,1,26.794,26.794,26.794,
3,4,1,29.484,29.484,29.484,
3,5,1,13.957,13.957,13.957,
3,6,1,60.305,60.305,60.305,
3,7,1,41.348,41.348,41.348,
3,8,1,42.39,42.39,42.39,
3,9,1,6.0612,6.0612,6.0612,
3,10,1,0,0,0,
3,11,1,88.118,88.118,88.118,
3,12,1,65.676,65.676,65.676,
3,13,1,12.285,12.285,12.285,
3,14,1,69.845,69.845,69.845,
3,15,1,65.16,65.16,65.16,
3,16,1,22.081,22.081,22.081,
3,17,1,100,100,100,
3,18,1,0,0,0,
3,19,1,41.572,41.572,41.572,
3,20,1,3.8086,3.8086,3.8086,
4,1,1,0,0,0,
4,2,1,89.429,89.429,89.429,
4,3,1,0,0,0,
4,4,1,38.494,38.494,38.494,
4,5,1,0,0,0,
4,6,1,29.137,29.137,29.137,
4,7,1,0,0,0,
4,8,1,12.948,12.948,12.948,
4,9,1,0,0,0,
4,10,1,19.365,19.365,19.365,
4,11,1,73.496,73.496,73.496,
4,12,1,56.75,56.75,56.75,
4,13,1,0,0,0,
4,14,1,91.533,91.533,91.533,
4,15,1,82.811,82.811,82.811,
4,16,1,0,0,0,
4,17,1,100,100,100,
4,18,1,0,0,0,
4,19,1,17.892,17.892,17.892,
4,20,1,0,0,0,
5,1,1,26.689,26.689,26.689,
5,2,1,100,100,100,
5,3,1,0,0,0,
5,4,1,25.603,25.603,25.603,
5,5,1,2.4298,2.4298,2.4298,
5,6,1,27.205,27.205,27.205,
5,7,1,22.988,22.988,22.988,
5,8,1,27.826,27.826,27.826,
5,9,1,21.333,21.333,21.333,
5,10,1,29.536,29.536,29.536,
5,11,1,8.5409,8.5409,8.5409,
5,12,1,10.422,10.422,10.422,
5,13,1,19.277,19.277,19.277,
5,14,1,100,100,100,
5,15,1,41.999,41.999,41.999,
5,16,1,8.7742,8.7742,8.7742,
5,17,1,43.1,43.1,43.1,
5,18,1,30.492,30.492,30.492,
5,19,1,2.5504,2.5504,2.5504,
5,20,1,22.265,22.265,22.265,
6,1,1,17.426,17.426,17.426,
6,2,1,52.356,52.356,52.356,
6,3,1,0,0,0,
6,4,1,0,0,0,
6,5,1,0,0,0,
6,6,1,0,0,0,
6,7,1,0,0,0,
6,8,1,0,0,0,
6,9,1,0,0,0,
6,10,1,18.318,18.318,18.318,
6,11,1,0,0,0,
6,12,1,0,0,0,
6,13,1,99.686,99.686,99.686,
6,14,1,80.572,80.572,80.572,
6,15,1,46.877,46.877,46.877,
6,16,1,0,0,0,
6,17,1,0,0,0,
6,18,1,47.127,47.127,47.127,
6,19,1,58.734,58.734,58.734,
6,20,1,44.801,44.801,44.801,
7,1,1,17.077,17.077,17.077,
7,2,1,39.45,39.45,39.45,
7,3,1,0,0,0,
7,4,1,37.316,37.316,37.316,
7,5,1,100,100,100,
7,6,1,44.192,44.192,44.192,
7,7,1,0,0,0,
7,8,1,40.687,40.687,40.687,
7,9,1,0,0,0,
7,10,1,37.486,37.486,37.486,
7,11,1,0,0,0,
7,12,1,24.951,24.951,24.951,
7,13,1,100,100,100,
7,14,1,60.706,60.706,60.706,
7,15,1,31.024,31.024,31.024,
7,16,1,3.2034,3.2034,3.2034,
7,17,1,0,0,0,
7,18,1,0,0,0,
7,19,1,46.666,46.666,46.666,
7,20,1,100,100,100,
8,1,1,0,0,0,
8,2,1,0,0,0,
8,3,1,0,0,0,
8,4,1,0,0,0,
8,5,1,69.968,69.968,69.968,
8,6,1,0,0,0,
8,7,1,0,0,0,
8,8,1,0,0,0,
8,9,1,65.318,65.318,65.318,
8,10,1,76.017,76.017,76.017,
8,11,1,0,0,0,
8,12,1,0,0,0,
8,13,1,69.88,69.88,69.88,
8,14,1,0,0,0,
8,15,1,0,0,0,
8,16,1,0,0,0,
8,17,1,0,0,0,
8,18,1,0,0,0,
8,19,1,32.509,32.509,32.509,
8,20,1,100,100,100,
9,1,1,0,0,0,
9,2,1,0,0,0,
9,3,1,0,0,0,
9,4,1,0,0,0,
9,5,1,64.776,64.776,64.776,
9,6,1,0,0,0,
9,7,1,0,0,0,
9,8,1,66.678,66.678,66.678,
9,9,1,36.171,36.171,36.171,
9,10,1,100,100,100,
9,11,1,16.315,16.315,16.315,
9,12,1,0,0,0,
9,13,1,27.042,27.042,27.042,
9,14,1,0,0,0,
9,15,1,96.151,96.151,96.151,
9,16,1,0,0,0,
9,17,1,0,0,0,
9,18,1,0,0,0,
9,19,1,38.161,38.161,38.161,
9,20,1,100,100,100,
10,1,1,10.102,10.102,10.102,
10,2,1,0,0,0,
10,3,1,0,0,0,
10,4,1,10.436,10.436,10.436,
10,5,1,100,100,100,
10,6,1,0,0,0,
10,7,1,2.7589,2.7589,2.7589,
10,8,1,100,100,100,
10,9,1,0,0,0,
10,10,1,72.52,72.52,72.52,
10,11,1,18.728,18.728,18.728,
10,12,1,0,0,0,
10,13,1,95.618,95.618,95.618,
10,14,1,6.6733,6.6733,6.6733,
10,15,1,47.123,47.123,47.123,
10,16,1,28.16,28.16,28.16,
10,17,1,2.732,2.732,2.732,
10,18,1,0,0,0,
10,19,1,100,100,100,
10,20,1,51.069,51.069,51.069,
11,1,1,0,0,0,
11,2,1,0,0,0,
11,3,1,0,0,0,
11,4,1,0,0,0,
11,5,1,50.11,50.11,50.11,
11,6,1,32.614,32.614,32.614,
11,7,1,0,0,0,
11,8,1,100,100,100,
11,9,1,0,0,0,
11,10,1,31.088,31.088,31.088,
11,11,1,10.577,10.577,10.577,
11,12,1,7.2326,7.2326,7.2326,
11,13,1,35.01,35.01,35.01,
11,14,1,0,0,0,
11,15,1,66.502,66.502,66.502,
11,16,1,0,0,0,
11,17,1,0,0,0,
11,18,1,0,0,0,
11,19,1,65.119,65.119,65.119,
11,20,1,53.611,53.611,53.611,
12,1,1,0,0,0,
12,2,1,0,0,0,
12,3,1,11.697,11.697,11.697,
12,4,1,0,0,0,
12,5,1,30.561,30.561,30.561,
12,6,1,100,100,100,
12,7,1,0,0,0,
12,8,1,68.454,68.454,68.454,
12,9,1,0,0,0,
12,10,1,0,0,0,
12,11,1,13.683,13.683,13.683,
12,12,1,0,0,0,
12,13,1,60.886,60.886,60.886,
12,14,1,0,0,0,
12,15,1,41.005,41.005,41.005,
12,16,1,0,0,0,
12,17,1,0,0,0,
12,18,1,0,0,0,
12,19,1,0,0,0,
12,20,1,39.572,39.572,39.572,
